"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10688","should login successfully and add products to cart","chromium","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","3838","valid login test","chromium","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
"","7207","should login successfully and add products to cart","webkit","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","10477","test","firefox","2026-08-13","passed","2026-08-13","","todos.spec.ts","",""
"","9884","valid login test","webkit","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
"","16053","valid login test","firefox","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
"","3633","invalid login test","chromium","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
"","9142","invalid login test","firefox","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
"","11962","test","webkit","2026-08-13","passed","2026-08-13","","todos.spec.ts","",""
"","3101","test","chromium","2026-08-13","passed","2026-08-13","","todos.spec.ts","",""
"","3295","should show error for locked out user","webkit","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","12624","should show error for locked out user","chromium","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","6080","should show error for locked out user","firefox","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","7336","should login successfully and add products to cart","firefox","2026-08-13","passed","2026-08-13","Sauce Demo - Page Object Model Example","saucedemo.spec.ts","",""
"","9566","invalid login test","webkit","2026-08-14","passed","2026-08-14","","Login.Spec.ts","",""
